diag;nb;categ;nb_categ;ponderation
W282;1;W28;482;0,2
D070;377;D07;2576;14,6
M8613;217;M86;61785;0,4
Z6038;4603;Z60;636952;0,7
W6403;1;W64;485;0,2
O290;3;O29;140;2,1
N281;24305;N28;50673;48,0
O300;17982;O30;18452;97,5
S931;1112;S93;14592;7,6
M1037;262;M10;66522;0,4
A328;200;A32;1200;16,7
M8799;47;M87;10803;0,4
X278;2;X27;10;20,0
X3192;1;X31;235;0,4
Y0512;2;Y05;1008;0,2
Y580;289;Y58;447;64,7
Y563;32;Y56;720;4,4
E630;25;E63;3862;0,6
O243;790;O24;173104;0,5
G579;37;G57;11917;0,3
T909;170;T90;6177;2,8
F132;2686;F13;10959;24,5
J439;41443;J43;93388;44,4
N841;5488;N84;60515;9,1
W1363;30;W13;4677;0,6
X4032;1;X40;1238;0,1
N758;2076;N75;9847;21,1
X0498;7;X04;850;0,8
N343;20;N34;1519;1,3
Z8000;184192;Z80;224878;81,9
M0604;190;M06;82822;0,2
L902;2;L90;20525;0,0
M672;626;M67;14137;4,4
Y771;1;Y77;32;3,1
V8618;2;V86;751;0,3
A243;8;A24;36;22,2
L105;8;L10;2346;0,3
W26988;6;W26;7450;0,1
D808;3118;D80;55684;5,6
X8378;1;X83;1019;0,1
R471;108557;R47;228760;47,5
V2243;2;V22;345;0,6
L246;7;L24;720;1,0
X9988;54;X99;3054;1,8
M7908;249;M79;143002;0,2
S269;158;S26;5408;2,9
K740;7691;K74;74602;10,3
Y623;19;Y62;1142;1,7
W1499;156;W14;1243;12,6
X0399;6;X03;109;5,5
C541;99163;C54;118086;84,0
T431;257;T43;32643;0,8
O218;2022;O21;15868;12,7
V4254;1;V42;104;1,0
S480;8;S48;58;13,8
N61;8824;N61;8824;100,0
M170;22090;M17;202228;10,9
X47002;1;X47;1900;0,1
W1181;6;W11;8307;0,1
W0314;3;W03;878;0,3
A809;25;A80;46;54,3
C511;599;C51;11313;5,3
N832;27684;N83;43411;63,8
W694;3;W69;291;1,0
S619;2694;S61;130920;2,1
E1150;41964;E11;1664933;2,5
T173;367;T17;5630;6,5
X818;27;X81;130;20,8
E617;274;E61;103689;0,3
T861;11360;T86;33727;33,7
X425;2;X42;1777;0,1
F02802;1126;F02;26783;4,2
W2893;2;W28;482;0,4
W342;1;W34;202;0,5
M8611;245;M86;61785;0,4
L080;2020;L08;40907;4,9
W6409;1;W64;485;0,2
X204;1;X20;326;0,3
N280;5558;N28;50673;11,0
O302;16;O30;18452;0,1
S635;1057;S63;15409;6,9
M1042;9;M10;66522;0,0
T387;24;T38;3570;0,7
V6829;1;V68;105;1,0
A155;34;A15;6382;0,5
X3102;2;X31;235;0,9
Y059;390;Y05;1008;38,7
D411;134;D41;17600;0,8
C688;852;C68;4632;18,4
E638;489;E63;3862;12,7
D437;211;D43;8259;2,6
G573;1544;G57;11917;13,0
T905;3899;T90;6177;63,1
F1300;228;F13;10959;2,1
J432;23766;J43;93388;25,4
R392;252348;R39;258167;97,7
W1330;13;W13;4677;0,3
X4028;3;X40;1238;0,2
E282;6914;E28;10869;63,6
X040;255;X04;850;30,0
N342;1066;N34;1519;70,2
Z80805;511;Z80;224878;0,2
M0606;82;M06;82822;0,1
W9301;1;W93;30;3,3
H114;1814;H11;17014;10,7
W8108;1;W81;12;8,3
V8640;1;V86;751;0,1
A244;8;A24;36;22,2
G937;72;G93;111107;0,1
W2602;13;W26;7450;0,2
V515;1;V51;2;50,0
X8314;6;X83;1019;0,6
J381;2648;J38;25598;10,3
V2240;7;V22;345;2,0
S7290;2078;S72;177899;1,2
X9948;48;X99;3054;1,6
M794;1;M79;143002;0,0
K718;618;K71;58230;1,1
Z245;1064;Z24;9677;11,0
Y628;74;Y62;1142;6,5
W1484;1;W14;1243;0,1
X0381;2;X03;109;1,8
V9619;2;V96;300;0,7
T232;4409;T23;6211;71,0
F321;13565;F32;240419;5,6
W7501;1;W75;14;7,1
T068;887;T06;1118;79,3
F058;41910;F05;122377;34,2
M173;1164;M17;202228;0,6
X470;628;X47;1900;33,1
H508;3611;H50;19373;18,6
C068;2135;C06;13795;15,5
W338;15;W33;127;11,8
Z439;178;Z43;74483;0,2
N838;5457;N83;43411;12,6
W6929;1;W69;291;0,3
F500;32000;F50;62007;51,6
E1180;5500;E11;1664933;0,3
Z238;6751;Z23;15463;43,7
X8148;3;X81;130;2,3
E613;6;E61;103689;0,0
T8688;325;T86;33727;1,0
X4200;3;X42;1777;0,2
E261;527;E26;4523;11,7
P3649;833;P36;12770;6,5
W3412;1;W34;202;0,5
M8616;1591;M86;61785;2,6
L089;2466;L08;40907;6,0
Y299;11;Y29;64;17,2
W8499;1;W84;10;10,0
N289;669;N28;50673;1,3
R192;94;R19;69601;0,1
H610;1100;H61;11297;9,7
C889;50;C88;32616;0,2
X899;3;X89;22;13,6
M8734;11;M87;10803;0,1
A154;777;A15;6382;12,2
X3142;1;X31;235;0,4
Y0592;1;Y05;1008;0,1
D410;4280;D41;17600;24,3
Y569;12;Y56;720;1,7
N913;76;N91;5034;1,5
L598;2578;L59;2828;91,2
G570;1736;G57;11917;14,6
T900;71;T90;6177;1,1
F1356;6;F13;10959;0,1
G8108;17566;G81;219448;8,0
N849;217;N84;60515;0,4
W1388;85;W13;4677;1,8
X4009;108;X40;1238;8,7
N750;3006;N75;9847;30,5
X0418;3;X04;850;0,4
Z290;503173;Z29;673013;74,8
Z809;562;Z80;224878;0,2
M0647;110;M06;82822;0,1
V163;1;V16;29;3,4
O159;63;O15;664;9,5
W812;1;W81;12;8,3
V8608;21;V86;751;2,8
K092;2521;K09;5089;49,5
G938;9544;G93;111107;8,6
W260+8;136;W26;7450;1,8
X193;1;X19;576;0,2
X8349;1;X83;1019;0,1
V1844;29;V18;8313;0,3
B393;77;B39;254;30,3
L245;28;L24;720;3,9
O072;1;O07;3096;0,0
M7953;988;M79;143002;0,7
K715;117;K71;58230;0,2
Z242;58;Z24;9677;0,6
Y625;3;Y62;1142;0,3
W1478;1;W14;1243;0,1
X0303;1;X03;109;0,9
V962;16;V96;300;5,3
Y1189;3;Y11;1018;0,3
F320;5606;F32;240419;2,3
V4269;3;V42;104;2,9
T065;59;T06;1118;5,3
P593;353;P59;75781;0,5
M179;31022;M17;202228;15,3
X4736;2;X47;1900;0,1
X8488;7;X84;2488;0,3
W0338;2;W03;878;0,2
A800;4;A80;46;8,7
W9928;1;W99;1038;0,1
N837;51;N83;43411;0,1
W6988;19;W69;291;6,5
I5012;90212;I50;815712;11,1
E1198;788397;E11;1664933;47,4
Z232;6256;Z23;15463;40,5
X8124;2;X81;130;1,5
R849;22;R84;494;4,5
T8681;172;T86;33727;0,5
X4299;98;X42;1777;5,5
F02402;8;F02;26783;0,0
P3650;43;P36;12770;0,3
O122;765;O12;15250;5,0
M8666;1637;M86;61785;2,6
