diag;nb;categ;nb_categ;ponderation
A402;9962;A40;23597;42,2
M0518;8;M05;61778;0,0
W0721;5;W07;6299;0,1
Z931;35390;Z93;131255;27,0
M899;104;M89;25433;0,4
C024;1371;C02;35003;3,9
W2319;3;W23;3653;0,1
W26089;4;W26;7450;0,1
E8760;30356;E87;1389078;2,2
Y0999;15;Y09;348;4,3
M2109;22;M21;31312;0,1
M9426;245;M94;9495;2,6
V4990;4;V49;6712;0,1
F03+32;1075;F03;156490;0,7
D829;77;D82;3085;2,5
X3691;1;X36;52;1,9
G808;1372;G80;18143;7,6
X920;3;X92;10;30,0
S001;17571;S00;72963;24,1
X9749;1;X97;95;1,1
I470;843;I47;110986;0,8
W544;162;W54;6753;2,4
R779;398;R77;36126;1,1
L210;348;L21;2824;12,3
N982;8;N98;1573;0,5
P95+1;3395;P95;6200;54,8
K627;14302;K62;231733;6,2
Q916;70;Q91;592;11,8
W2292;54;W22;3331;1,6
M8184;5;M81;46886;0,0
W388;4;W38;119;3,4
W2979;2;W29;5051;0,0
F2058;53;F20;47790;0,1
M2431;441;M24;27285;1,6
X9594;1;X95;1071;0,1
W8009;21;W80;414;5,1
T410;117;T41;557;21,0
M0237;3;M02;577;0,5
V010;21;V01;269;7,8
A483;282;A48;4842;5,8
O0412;11;O04;153840;0,0
Z955;411768;Z95;1088407;37,8
W7894;4;W78;1171;0,3
F2580;37;F25;5314;0,7
M4052;67;M40;10417;0,6
U832+1;78;U83;73168;0,1
X49600;6;X49;2275;0,3
W4564;2;W45;1292;0,2
Z965;119;Z96;303950;0,0
Z85800;1894;Z85;310459;0,6
N309;4096;N30;111318;3,7
X769;60;X76;389;15,4
X120;693;X12;1448;47,9
V656;1;V65;2;50,0
J321;942;J32;28560;3,3
F1051;96;F10;668750;0,0
S2201;85;S22;115739;0,1
N609;46;N60;7980;0,6
E6686;16932;E66;1186997;1,4
W0601;30;W06;15509;0,2
X2384;1;X23;2225;0,0
Z811;4070;Z81;8551;47,6
O365;46952;O36;129138;36,4
W0022;3;W00;1271;0,2
X6091;4;X60;23029;0,0
A64;26;A64;26;100,0
W0704;263;W07;6299;4,2
V7754;1;V77;17;5,9
M8927;3;M89;25433;0,0
M1102;16;M11;30110;0,1
W2383;15;W23;3653;0,4
W26999;189;W26;7450;2,5
A090;52485;A09;133753;39,2
Y0904;1;Y09;348;0,3
M2154;65;M21;31312;0,2
W0809;233;W08;2679;8,7
V4928;5;V49;6712;0,1
F03+12;1512;F03;156490;1,0
K672;3;K67;242;1,2
X3680;3;X36;52;5,8
G800;6347;G80;18143;35,0
X921;4;X92;10;40,0
S9270;1134;S92;18997;6,0
X189;34;X18;114;29,8
Y619;15;Y61;266;5,6
K436;2042;K43;68265;3,0
T012;178;T01;1096;16,2
I639;23003;I63;217189;10,6
W7982;1;W79;2193;0,0
K412;170;K41;4625;3,7
Z833;25602;Z83;63314;40,4
R074;152890;R07;270694;56,5
W2203;10;W22;3331;0,3
M8160;4;M81;46886;0,0
W3838;1;W38;119;0,8
W2982;71;W29;5051;1,4
F2005;44;F20;47790;0,1
M2447;221;M24;27285;0,8
R498;788;R49;15430;5,1
W803;4;W80;414;1,0
Z922;174478;Z92;902331;19,3
M0294;3;M02;577;0,5
V0114;1;V01;269;0,4
A484;6;A48;4842;0,1
O0433;2;O04;153840;0,0
F14200;1945;F14;37152;5,2
W785;4;W78;1171;0,3
F2520;24;F25;5314;0,5
M4036;10;M40;10417;0,1
G252;5218;G25;63587;8,2
X4981;2;X49;2275;0,1
W4592;82;W45;1292;6,3
Z961;19900;Z96;303950;6,5
Z8502;15;Z85;310459;0,0
N301;2281;N30;111318;2,0
X7600;1;X76;389;0,3
X1291;2;X12;1448;0,1
M931;330;M93;5361;6,2
B873;4;B87;160;2,5
F1003;1371;F10;668750;0,2
A198;145;A19;971;14,9
D695;60525;D69;170070;35,6
E6617;194;E66;1186997;0,0
W0602;2;W06;15509;0,0
X0084;1;X00;531;0,2
Z813;297;Z81;8551;3,5
O360;11688;O36;129138;9,1
W241;1;W24;1062;0,1
X6098;90;X60;23029;0,4
M050;83;M05;61778;0,1
W0762;1;W07;6299;0,0
V7719;2;V77;17;11,8
N761;132;N76;9073;1,5
M1186;901;M11;30110;3,0
W234;46;W23;3653;1,3
W2686;8;W26;7450;0,1
E8700;51391;E87;1389078;3,7
Y0994;1;Y09;348;0,3
P929;685;P92;99106;0,7
B582;504;B58;2056;24,5
V4948;120;V49;6712;1,8
F844;63;F84;20371;0,3
K671;54;K67;242;22,3
X592;73;X59;4912;1,5
Q392;101;Q39;3002;3,4
X9201;1;X92;10;10,0
S9231;433;S92;18997;2,3
T12+1;2;T12;29;6,9
Y617;19;Y61;266;7,1
W5424;1;W54;6753;0,0
R770;3373;R77;36126;9,3
L211;92;L21;2824;3,3
W7921;1;W79;2193;0,0
Y279;5;Y27;32;15,6
N179;156684;N17;352410;44,5
R073;92393;R07;270694;34,1
W2213;4;W22;3331;0,1
M8196;161;M81;46886;0,3
Q501;411;Q50;745;55,2
W2904;26;W29;5051;0,5
V154;6;V15;24;25,0
O056;14;O05;226;6,2
M8486;30;M84;25322;0,1
W8029;4;W80;414;1,0
N898;2177;N89;4069;53,5
M0288;16;M02;577;2,8
V0118;14;V01;269;5,2
W7488;1;W74;133;0,8
O0450;8;O04;153840;0,0
W2010;2;W20;1973;0,1
W7814;19;W78;1171;1,6
F250;829;F25;5314;15,6
M4010;82;M40;10417;0,8
G250;14237;G25;63587;22,4
X4901;26;X49;2275;1,1
W4552;3;W45;1292;0,2
Z966;182752;Z96;303950;60,1
Z8529;496;Z85;310459;0,2
E568;3549;E56;9396;37,8
X7608;22;X76;389;5,7
X1283;2;X12;1448;0,1
O694;884;O69;93292;0,9
B872;3;B87;160;1,9
F1030;22913;F10;668750;3,4
D035;533;D03;4094;13,0
F9840;85;F98;7997;1,1
E669;5;E66;1186997;0,0
W063;2;W06;15509;0,0
X0082;5;X00;531;0,9
Z810;95;Z81;8551;1,1
O368;11690;O36;129138;9,1
W0090;2;W00;1271;0,2
X6018;10;X60;23029;0,0
E743;278;E74;8154;3,4
W070;2858;W07;6299;45,4
V7768;1;V77;17;5,9
J206;8515;J20;80596;10,6
M1113;87;M11;30110;0,3
W2309;88;W23;3653;2,4
W2684;12;W26;7450;0,2
M0112;3;M01;1101;0,3
Y094;13;Y09;348;3,7
P924;146;P92;99106;0,1
W0858;1;W08;2679;0,0
O266;10235;O26;39428;26,0
F03+30;625;F03;156490;0,4
B363;4;B36;47911;0,0
X3600;2;X36;52;3,8
Q399;7;Q39;3002;0,2
I38;973;I38;973;100,0
S9271;288;S92;18997;1,5
X1890;1;X18;114;0,9
Y615;20;Y61;266;7,5
W5444;5;W54;6753;0,1
T399;602;T39;30635;2,0
Y639;17;Y63;216;7,9
W7919;80;W79;2193;3,6
Y198;6;Y19;171;3,5
Z834;6672;Z83;63314;10,5
Q914;24;Q91;592;4,1
W2209;128;W22;3331;3,8
M8125;13;M81;46886;0,0
W380;34;W38;119;28,6
W296;118;W29;5051;2,3
F2098;986;F20;47790;2,1
M2465;261;M24;27285;1,0
X951;19;X95;1071;1,8
W800;174;W80;414;42,0
Z924;54467;Z92;902331;6,0
M0284;12;M02;577;2,1
V0109;8;V01;269;3,0
W743;2;W74;133;1,5
O0443;20;O04;153840;0,0
F1406;87;F14;37152;0,2
W7819;13;W78;1171;1,1
F251;727;F25;5314;13,7
E002;3;E00;145;2,1
U83701;14520;U83;73168;19,8
X491;43;X49;2275;1,9
W453;3;W45;1292;0,2
Z968;17081;Z96;303950;5,6
K062;73;K06;4175;1,7
E560;456;E56;9396;4,9
X7699;14;X76;389;3,6
X126;3;X12;1448;0,2
N369;35;N36;5321;0,7
B871;101;B87;160;63,1
F1020;19760;F10;668750;3,0
S2281;2;S22;115739;0,0
Q331;1;Q33;2030;0,0
E6605;129911;E66;1186997;10,9
K770;1667;K77;3441;48,4
X2318;5;X23;2225;0,2
Z818;3683;Z81;8551;43,1
R508;61503;R50;224555;27,4
W004;128;W00;1271;10,1
X6024;4;X60;23029;0,0
M0520;250;M05;61778;0,4
W0712;3;W07;6299;0,0
Z938;724;Z93;131255;0,6
J205;3349;J20;80596;4,2
M1115;10;M11;30110;0,0
W2361;1;W23;3653;0,0
W26889;3;W26;7450;0,0
M0189;6;M01;1101;0,5
Y092;3;Y09;348;0,9
P928;6319;P92;99106;6,4
M9492;1;M94;9495;0,0
V498;385;V49;6712;5,7
F03+10;228;F03;156490;0,1
B362;15;B36;47911;0,0
T858;3455;T85;68787;5,0
G809;2507;G80;18143;13,8
Y365;1;Y36;94;1,1
S9210;1140;S92;18997;6,0
X9799;3;X97;95;3,2
Y614;1;Y61;266;0,4
W543;9;W54;6753;0,1
L730;62;L73;16332;0,4
Y631;6;Y63;216;2,8
W7954;1;W79;2193;0,0
Y1969;1;Y19;171;0,6
K624;4751;K62;231733;2,1
Q915;60;Q91;592;10,1
W2291;24;W22;3331;0,7
M8166;1;M81;46886;0,0
Q502;25;Q50;745;3,4
I438;1604;I43;14463;11,1
F2032;8;F20;47790;0,0
M2449;4;M24;27285;0,0
M8410;20;M84;25322;0,1
W8099;14;W80;414;3,4
A028;316;A02;6491;4,9
T320;500;T32;524;95,4
V0119;26;V01;269;9,7
W7489;4;W74;133;3,0
O0461;85;O04;153840;0,1
W2082;46;W20;1973;2,3
S210;630;S21;4075;15,5
N86;638;N86;638;100,0
M4000;64;M40;10417;0,6
U831+1;13;U83;73168;0,0
X49121;2;X49;2275;0,1
W4573;2;W45;1292;0,2
B019;2247;B01;5243;42,9
Z857;13787;Z85;310459;4,4
E561;5238;E56;9396;55,7
P722;518;P72;772;67,1
X8249;12;X82;234;5,1
D479;546;D47;69025;0,8
J322;3294;J32;28560;11,5
F1001;24555;F10;668750;3,7
Q631;885;Q63;3851;23,0
D400;1844;D40;2267;81,3
W664;1;W66;8;12,5
W0658;1;W06;15509;0,0
F228;3223;F22;20999;15,3
Z814;36;Z81;8551;0,4
O364;3526;O36;129138;2,7
W2499;19;W24;1062;1,8
X6028;12;X60;23029;0,1
M0506;1;M05;61778;0,0
W075;15;W07;6299;0,2
Z936;18138;Z93;131255;13,8
M894;39;M89;25433;0,2
M1120;2940;M11;30110;9,8
W231;20;W23;3653;0,5
W26012;12;W26;7450;0,2
M0117;8;M01;1101;0,7
Y095;1;Y09;348;0,3
P922;47387;P92;99106;47,8
W0803;2;W08;2679;0,1
V4989;24;V49;6712;0,4
F03+3;548;F03;156490;0,4
R062;1451;R06;338788;0,4
X363;4;X36;52;7,7
Z4580;58879;Z45;419694;14,0
Y360;2;Y36;94;2,1
S9220;1303;S92;18997;6,9
T12+0;27;T12;29;93,1
Y314;2;Y31;19;10,5
W5484;2;W54;6753;0,0
T393;4406;T39;30635;14,4
Y636;50;Y63;216;23,1
W7980;1;W79;2193;0,0
Y1919;1;Y19;171;0,6
T933;325;T93;1931;16,8
R072;17251;R07;270694;6,4
E063;20122;E06;22410;89,8
M8163;3;M81;46886;0,0
W3893;1;W38;119;0,8
W2920;2;W29;5051;0,0
O756;19360;O75;64091;30,2
M2415;468;M24;27285;1,7
M8403;1135;M84;25322;4,5
W808;19;W80;414;4,6
Z925;150;Z92;902331;0,0
M0239;26;M02;577;4,5
V0111;2;V01;269;0,7
W742;2;W74;133;1,5
O0452;12;O04;153840;0,0
W2018;3;W20;1973;0,2
W7830;1;W78;1171;0,1
F259;2171;F25;5314;40,9
M4017;526;M40;10417;5,0
G255;879;G25;63587;1,4
X4912;4;X49;2275;0,2
W4584;2;W45;1292;0,2
C252;25311;C25;287910;8,8
S044;33;S04;1395;2,4
E569;153;E56;9396;1,6
X7648;3;X76;389;0,8
X825;2;X82;234;0,9
I423;92;I42;167151;0,1
J328;2730;J32;28560;9,6
F1006;1186;F10;668750;0,2
T0270;38;T02;536;7,1
F986;1;F98;7997;0,0
W5398;1;W53;60;1,7
K778;1774;K77;3441;51,6
X0008;32;X00;531;6,0
X7892;3;X78;15279;0,0
O361;1346;O36;129138;1,0
W002;46;W00;1271;3,6
A408;5199;A40;23597;22,0
M0535;48;M05;61778;0,1
W0731;1;W07;6299;0,0
V7769;3;V77;17;17,6
M8988;232;M89;25433;0,9
M1187;463;M11;30110;1,5
W2354;1;W23;3653;0,0
W26821;2;W26;7450;0,0
M010;6;M01;1101;0,5
Y090;15;Y09;348;4,3
P920;3791;P92;99106;3,8
W0811;2;W08;2679;0,1
V4993;4;V49;6712;0,1
F03+02;27738;F03;156490;17,7
D131;9060;D13;28615;31,7
T8558;13083;T85;68787;19,0
Q391;1212;Q39;3002;40,4
T64;8;T64;8;100,0
B91;3263;B91;3263;100,0
X1814;1;X18;114;0,9
C4950;264;C49;62550;0,4
W5431;1;W54;6753;0,0
T398;1755;T39;30635;5,7
S841;277;S84;495;56,0
W7912;1;W79;2193;0,0
Y1909;8;Y19;171;4,7
Z8370;26687;Z83;63314;42,2
V640;3;V64;60;5,0
E061;289;E06;22410;1,3
M8103;4;M81;46886;0,0
Q505;203;Q50;745;27,2
W2964;3;W29;5051;0,1
F2085;2;F20;47790;0,0
M2429;5;M24;27285;0,0
X9528;3;X95;1071;0,3
W8008;13;W80;414;3,1
Z921;508674;Z92;902331;56,4
M0287;20;M02;577;3,5
V0110;2;V01;269;0,7
W744;4;W74;133;3,0
O0463;1;O04;153840;0,0
W2043;2;W20;1973;0,1
W7899;29;W78;1171;2,5
F258;566;F25;5314;10,7
V639;3;V63;63;4,8
U830+0;341;U83;73168;0,5
X4982;11;X49;2275;0,5
W4599;221;W45;1292;17,1
I158;4609;I15;23577;19,5
S047;103;S04;1395;7,4
A979;1111;A97;3487;31,9
X7698;4;X76;389;1,0
X829;70;X82;234;29,9
N362;397;N36;5321;7,5
B878;6;B87;160;3,8
F108;1500;F10;668750;0,2
T0251;12;T02;536;2,2
F982;1808;F98;7997;22,6
E6603;65200;E66;1186997;5,5
W0604;1004;W06;15509;6,5
X0062;2;X00;531;0,4
X7808;606;X78;15279;4,0
O363;24384;O36;129138;18,9
C638;137;C63;1206;11,4
X600;12328;X60;23029;53,5
M0592;34;M05;61778;0,1
W0781;3;W07;6299;0,0
Z934;9353;Z93;131255;7,1
M8966;8;M89;25433;0,0
M1127;888;M11;30110;2,9
W2351;1;W23;3653;0,0
D763;1765;D76;4669;37,8
M0116;7;M01;1101;0,6
M4832;6;M48;136433;0,0
P925;23426;P92;99106;23,6
W0814;14;W08;2679;0,5
V4902;6;V49;6712;0,1
F03+42;5144;F03;156490;3,3
R064;6442;R06;338788;1,9
X595;6;X59;4912;0,1
G804;170;G80;18143;0,9
X9288;1;X92;10;10,0
S9241;586;S92;18997;3,1
X979;9;X97;95;9,5
C491;7138;C49;62550;11,4
W5421;9;W54;6753;0,1
L731;7;L73;16332;0,0
T300;93;T30;284;32,7
N981;1302;N98;1573;82,8
Y1908;2;Y19;171;1,2
L282;2212;L28;3178;69,6
C758;316;C75;6125;5,2
E069;575;E06;22410;2,6
M8130;14;M81;46886;0,0
Q506;13;Q50;745;1,7
K931;8;K93;3792;0,2
F2065;5;F20;47790;0,0
M240;28;M24;27285;0,1
M8447;186;M84;25322;0,7
W8018;2;W80;414;0,5
A021;664;A02;6491;10,2
M020;1;M02;577;0,2
V0198;3;V01;269;1,1
W7490;1;W74;133;0,8
O0400;100;O04;153840;0,1
W2028;2;W20;1973;0,1
W7824;6;W78;1171;0,5
F2521;49;F25;5314;0,9
A539;450;A53;833;54,0
U83780;5452;U83;73168;7,5
X4980;1;X49;2275;0,0
W4503;15;W45;1292;1,2
I152;2185;I15;23577;9,3
K061;172;K06;4175;4,1
F24;88;F24;88;100,0
X761;22;X76;389;5,7
P270;16;P27;7838;0,2
O698;37304;O69;93292;40,0
A030;125;A03;1064;11,7
F1021;13091;F10;668750;2,0
Q723;62;Q72;819;7,6
F984;150;F98;7997;1,9
W5309;6;W53;60;10,0
W0689;54;W06;15509;0,3
X0048;1;X00;531;0,2
X7882;6;X78;15279;0,0
O367;3;O36;129138;0,0
W242;1;W24;1062;0,1
X6022;2;X60;23029;0,0
L701;103;L70;1374;7,5
W0759;2;W07;6299;0,0
V7709;1;V77;17;5,9
J209;50922;J20;80596;63,2
M630;38;M63;322;11,8
W2328;7;W23;3653;0,2
D762;1637;D76;4669;35,1
M0125;2;M01;1101;0,2
M4845;180;M48;136433;0,1
P923;5643;P92;99106;5,7
W084;7;W08;2679;0,3
V4940;7;V49;6712;0,1
F03+22;965;F03;156490;0,6
D137;412;D13;28615;1,4
T857;25633;T85;68787;37,3
G803;452;G80;18143;2,5
Y362;24;Y36;94;25,5
S9211;167;S92;18997;0,9
X974;2;X97;95;2,1
C492;23334;C49;62550;37,3
W5400;10;W54;6753;0,1
T394;11;T39;30635;0,0
Y630;14;Y63;216;6,5
W7929;32;W79;2193;1,5
K410;143;K41;4625;3,1
S868;583;S86;15110;3,9
V6411;1;V64;60;1,7
E064;405;E06;22410;1,8
M8169;7;M81;46886;0,0
W3803;2;W38;119;1,7
T523;23;T52;457;5,0
O752;19272;O75;64091;30,1
M2491;6;M24;27285;0,0
X9542;3;X95;1071;0,3
W804;3;W80;414;0,7
Z923;77765;Z92;902331;8,6
M0285;43;M02;577;7,5
V0113;3;V01;269;1,1
T58;3530;T58;3530;100,0
M1392;331;M13;24317;1,4
F1454;3;F14;37152;0,0
W7828;14;W78;1171;1,2
D610;4802;D61;96965;5,0
M4044;6;M40;10417;0,1
U832+0;4878;U83;73168;6,7
X4988;19;X49;2275;0,8
W4598;37;W45;1292;2,9
C254+8;3985;C25;287910;1,4
Z85803;1551;Z85;310459;0,5
K282;51;K28;2653;1,9
X7618;6;X76;389;1,5
P271;7493;P27;7838;95,6
R432;1913;R43;3212;59,6
T700;344;T70;1791;19,2
F102;85620;F10;668750;12,8
Q728;210;Q72;819;25,6
F9842;6;F98;7997;0,1
E6696;70339;E66;1186997;5,9
W0698;12;W06;15509;0,1
X0003;1;X00;531;0,2
V9138;4;V91;196;2,0
O362;462;O36;129138;0,4
W0024;3;W00;1271;0,2
A401;2026;A40;23597;8,6
E742;184;E74;8154;2,3
W0703;5;W07;6299;0,1
Z932;15873;Z93;131255;12,1
M8933;3;M89;25433;0,0
M1125;707;M11;30110;2,3
W2372;43;W23;3653;1,2
D761;1267;D76;4669;27,1
M0127;2;M01;1101;0,2
M4820;330;M48;136433;0,2
P921;11709;P92;99106;11,8
W0818;17;W08;2679;0,6
V492;26;V49;6712;0,4
V3028;1;V30;3;33,3
R065;25699;R06;338788;7,6
A99;8;A99;8;100,0
D739;107;D73;13127;0,8
Y368;16;Y36;94;17,0
S9230;5146;S92;18997;27,1
X1899;8;X18;114;7,0
C4938;4740;C49;62550;7,6
K439;21515;K43;68265;31,5
L732;14166;L73;16332;86,7
Y638;95;Y63;216;44,0
N989;9;N98;1573;0,6
Y2718;1;Y27;32;3,1
T111;55;T11;207;26,6
F88;227;F88;227;100,0
E060;280;E06;22410;1,2
Z4002;194;Z40;6251;3,1
W3808;9;W38;119;7,6
W2928;2;W29;5051;0,0
F2019;37;F20;47790;0,1
O053;8;O05;226;3,5
M8421;14;M84;25322;0,1
W809;66;W80;414;15,9
A029;424;A02;6491;6,5
M0296;9;M02;577;1,6
V011;129;V01;269;48,0
W7419;1;W74;133;0,8
M139;706;M13;24317;2,9
W2090;3;W20;1973;0,2
Y801;12;Y80;45;26,7
F2590;158;F25;5314;3,0
M405;148;M40;10417;1,4
G259;8083;G25;63587;12,7
X49811;1;X49;2275;0,0
Y2889;3;Y28;258;1,2
C259+0;131;C25;287910;0,0
P050;54536;P05;69709;78,2
N022;15;N02;11985;0,1
X7628;1;X76;389;0,3
X820;13;X82;234;5,6
O690;2304;O69;93292;2,5
A311;98;A31;2614;3,7
F1025;89733;F10;668750;13,4
O894;1704;O89;2071;82,3
Q048;1371;Q04;7212;19,0
W5304;1;W53;60;1,7
W0649;12;W06;15509;0,1
X000;315;X00;531;59,3
V9179;3;V91;196;1,5
O366;28878;O36;129138;22,4
W2493;1;W24;1062;0,1
X6008;839;X60;23029;3,6
M0583;110;M05;61778;0,2
W0720;1;W07;6299;0,0
V7758;1;V77;17;5,9
M8990;24;M89;25433;0,1
M1191;227;M11;30110;0,8
Z204;2;Z20;21144;0,0
E848;1195;E84;31432;3,8
G439;16993;G43;52679;32,3
M480;3485;M48;136433;2,6
O469;1802;O46;8012;22,5
W0829;15;W08;2679;0,6
V4961;2;V49;6712;0,0
F843;363;F84;20371;1,8
F09;260;F09;260;100,0
F730;727;F73;4313;16,9
G801;3979;G80;18143;21,9
Y364;16;Y36;94;17,0
S9221;145;S92;18997;0,8
X431;29;X43;325;8,9
C490;6234;C49;62550;10,0
W5481;4;W54;6753;0,1
T392;59;T39;30635;0,2
I633;45914;I63;217189;21,1
W7998;4;W79;2193;0,2
K414;276;K41;4625;6,0
P282;6451;P28;31002;20,8
V6409;2;V64;60;3,3
E065;655;E06;22410;2,9
M8101;9;M81;46886;0,0
F161;25;F16;890;2,8
W2961;1;W29;5051;0,0
F2012;11;F20;47790;0,0
M2420;6;M24;27285;0,0
M841;292;M84;25322;1,2
W8084;1;W80;414;0,2
F1952;16;F19;21113;0,1
M0238;1;M02;577;0,2
O083;56;O08;5809;1,0
W7480;5;W74;133;3,8
M1388;156;M13;24317;0,6
F1456;5;F14;37152;0,0
S650;1279;S65;12257;10,4
F2581;46;F25;5314;0,9
E009;98;E00;145;67,6
G254;48;G25;63587;0,1
X4948;3;X49;2275;0,1
W459;229;W45;1292;17,7
B018;2139;B01;5243;40,8
P051;9858;P05;69709;14,1
N825;124;N82;5326;2,3
X7688;8;X76;389;2,1
X8248;7;X82;234;3,0
D475;473;D47;69025;0,7
A031;133;A03;1064;12,5
F103;8059;F10;668750;1,2
Q724;198;Q72;819;24,2
S100;1103;S10;5503;20,0
E6695;100154;E66;1186997;8,4
W0662;1;W06;15509;0,0
X2309;195;X23;2225;8,8
V9172;1;V91;196;0,5
C539;51009;C53;80111;63,7
W2449;2;W24;1062;0,2
X604;33;X60;23029;0,1
M0590;17831;M05;61778;28,9
W0788;25;W07;6299;0,4
V775;4;V77;17;23,5
M8984;134;M89;25433;0,5
M119;281;M11;30110;0,9
W2368;6;W23;3653;0,2
E840;24325;E84;31432;77,4
M0167;9;M01;1101;0,8
M4818;14;M48;136433;0,0
N744;415;N74;695;59,7
M9498;17;M94;9495;0,2
V4958;28;V49;6712;0,4
H738;1757;H73;1981;88,7
R063;880;R06;338788;0,3
C323;794;C32;70786;1,1
Q395;85;Q39;3002;2,8
N921;15625;N92;34190;45,7
S9200;4134;S92;18997;21,8
X430;164;X43;325;50,5
C498;4384;C49;62550;7,0
W5408;121;W54;6753;1,8
L738;1313;L73;16332;8,0
I635;64410;I63;217189;29,7
W795;10;W79;2193;0,5
Y1982;1;Y19;171;0,6
P280;1072;P28;31002;3,5
V6453;2;V64;60;3,3
E062;84;E06;22410;0,4
M8126;4;M81;46886;0,0
F168;6;F16;890;0,7
W2933;1;W29;5051;0,0
F202;624;F20;47790;1,3
M2440;2;M24;27285;0,0
M8416;2419;M84;25322;9,6
W8088;5;W80;414;1,2
F19200;361;F19;21113;1,7
M0232;1;M02;577;0,2
A072;414;A07;1444;28,7
W746;1;W74;133;0,8
M1396;2801;M13;24317;11,5
I48;7;I48;1181769;0,0
S658;1473;S65;12257;12,0
F2511;83;F25;5314;1,6
M4030;1;M40;10417;0,0
U83700;4542;U83;73168;6,2
Y792;45;Y79;62;72,6
W4508;59;W45;1292;4,6
B012;410;B01;5243;7,8
O94;275;O94;275;100,0
A971;1020;A97;3487;29,3
P729;18;P72;772;2,3
A181;267;A18;2960;9,0
I420;90295;I42;167151;54,0
A038;211;A03;1064;19,8
F1005;2755;F10;668750;0,4
Q722;51;Q72;819;6,2
S109;1324;S10;5503;24,1
W5308;7;W53;60;11,7
W0694;12;W06;15509;0,1
X2304;20;X23;2225;0,9
X7831;1;X78;15279;0,0
C538;12211;C53;80111;15,2
W0052;1;W00;1271;0,1
X6030;1;X60;23029;0,0
M0503;4;M05;61778;0,0
N410;110336;N41;123728;89,2
V770;1;V77;17;5,9
M8956;314;M89;25433;1,2
M1195;120;M11;30110;0,4
T264;75;T26;537;14,0
E849;1545;E84;31432;4,9
M0122;1;M01;1101;0,1
M4898;2;M48;136433;0,0
O468;6108;O46;8012;76,2
W082;84;W08;2679;3,1
V4934;1;V49;6712;0,0
R170;38757;R17;42994;90,1
R060;288150;R06;338788;85,1
C320;17984;C32;70786;25,4
D738;1187;D73;13127;9,0
N924;3735;N92;34190;10,9
S9251;508;S92;18997;2,7
X4308;8;X43;325;2,5
S091;77;S09;7090;1,1
W542;49;W54;6753;0,7
L739;784;L73;16332;4,8
I638;28885;I63;217189;13,3
A699;12;A69;2633;0,5
Y2704;2;Y27;32;6,2
P283;5293;P28;31002;17,1
V645;28;V64;60;46,7
I2210;95;I22;1172;8,1
M8199;9441;M81;46886;20,1
N10;139991;N10;139991;100,0
W299;1007;W29;5051;19,9
F2011;8;F20;47790;0,0
M2480;5;M24;27285;0,0
M8432;4;M84;25322;0,0
W8004;16;W80;414;3,9
F1923;721;F19;21113;3,4
M023;42;M02;577;7,3
O086;69;O08;5809;1,2
A480;506;A48;4842;10,5
M1313;445;M13;24317;1,8
W2022;4;W20;1973;0,2
A86;357;A86;357;100,0
F2501;63;F25;5314;1,2
M4037;4;M40;10417;0,0
G251;1055;G25;63587;1,7
K703;118890;K70;152336;78,0
W4558;1;W45;1292;0,1
C259;63489;C25;287910;22,1
P059;4976;P05;69709;7,1
N0209;112;N02;11985;0,9
X7603;1;X76;389;0,3
C844;6606;C84;24785;26,7
I428;20198;I42;167151;12,1
A032;4;A03;1064;0,4
F1004;1877;F10;668750;0,3
O891;9;O89;2071;0,4
Q044;153;Q04;7212;2,1
W6664;1;W66;8;12,5
W0648;6;W06;15509;0,0
L032;6040;L03;60457;10,0
X780;7303;X78;15279;47,8
C531;8139;C53;80111;10,2
W0080;3;W00;1271;0,2
X608;448;X60;23029;1,9
E740;5710;E74;8154;70,0
W0780;1;W07;6299;0,0
V776;3;V77;17;17,6
M893;13;M89;25433;0,1
M632;73;M63;322;22,7
Z200;3542;Z20;21144;16,8
E841;4367;E84;31432;13,9
M0159;6;M01;1101;0,5
M4887;190;M48;136433;0,1
N743;207;N74;695;29,8
W0890;1;W08;2679;0,0
V4908;17;V49;6712;0,3
H730;86;H73;1981;4,3
R068;8603;R06;338788;2,5
C328;12031;C32;70786;17,0
Q398;205;Q39;3002;6,8
N926;1069;N92;34190;3,1
S9250;1658;S92;18997;8,7
O832;821;O83;4195;19,6
C4948;6420;C49;62550;10,3
W5429;6;W54;6753;0,1
T391;23469;T39;30635;76,6
T303;49;T30;284;17,3
W793;2;W79;2193;0,1
K413;1790;K41;4625;38,7
T110;68;T11;207;32,9
V6452;7;V64;60;11,7
I2288;78;I22;1172;6,7
M8158;150;M81;46886;0,3
F1620;22;F16;890;2,5
W2969;3;W29;5051;0,1
O750;7163;O75;64091;11,2
M242;226;M24;27285;0,8
N23;51962;N23;51962;100,0
W8098;3;W80;414;0,7
F1954;5;F19;21113;0,0
M0293;2;M02;577;0,3
A079;22;A07;1444;1,5
W7404;1;W74;133;0,8
Q644;587;Q64;3816;15,4
F1451;29;F14;37152;0,1
S655;4347;S65;12257;35,5
F2510;75;F25;5314;1,4
E000;35;E00;145;24,1
D819;1009;D81;3486;28,9
X49220;1;X49;2275;0,0
Y2888;8;Y28;258;3,1
B010;214;B01;5243;4,1
P052;339;P05;69709;0,5
N829;49;N82;5326;0,9
X768;13;X76;389;3,3
X8299;9;X82;234;3,8
I424;220;I42;167151;0,1
U119;682;U11;682;100,0
F1053;22;F10;668750;0,0
